"IP_ID","YEAR","AGE","EDUCATION"
"UMV564",2022,"42",3
"SIR244",2022,"70",1
"EUX_278",2022,"72",3
"QKO854",2022,"38",1
"QNT301",2022,"37",1
"RZX283",2022,"48",1
"JVM204",2022,"60",2
"POW441",2022,"47",3
"CER643",2022,"37",NA
"EMT_802",2022,"68",2
"NXT483",2022,"38",3
"SRW587",2022,"18",2
"OHO_593",2022,"45",2
"EIR_493",2022,"43",3
"AXL165",2022,"48",2
"TFG482",2022,"46",2
"QTH678",2022,"53",3
"RRR977",2022,"38",1
"WVJ281",2022,"73",1
"SHQ846",2022,"56",1
"GMM_851",2022,"54",1
"KFU539",2022,"35",3
"HNQ_438",2022,"32",3
"QOK333",2022,"64",1
"CIV383",2022,"67",2
"KYD065",2022,"42",2
"ZUX219",2022,"66",3
"UPD_009",2022,"70",2
"PLP683",2022,"53",1
"YEH161",2022,"50",2
"YBQ310",2022,"75",1
"VTB640",2022,"49",3
"XAO250",2022,"62",3
"GFY854",2022,"64",3
"EGK676",2022,"49",1
"VKP684",2022,"40",3
"SVA109",2022,"67",3
"OAQ351",2022,NA,1
"FKH064",2022,"48",NA
"UIN841",2022,"73",3
"IQP443",2022,"65",3
"KUW077",2022,"38",3
"KTU536",2022,"36",1
"FFR160",2022,"61",1
"YDS333",2022,"75",3
"PYG535",2022,"67",2
"WJD_512",2022,"63",1
"TJM188",2022,"61",3
"PVO264",2022,"32",1
"ZQT695",2022,"43",3
"CFM323",2022,"51",3
"OQC749",2022,"51",3
"IWK346",2022,"32",1
"VUP859",2022,"60",1
"GJM360",2022,"37",3
"FDM_225",2022,"#NA",2
"YTU943",2022,"21",1
"FGS527",2022,"54",3
"UJQ208",2022,"36",2
"AYS720",2022,"74",1
"BUE498",2022,"75",3
"YZE610",2022,"74",2
"UWH593",2022,"31",1
"JOY477",2022,"63",1
"ZVE649",2022,"60",NA
"GFM148",2022,"68",3
"KGC_030",2022,"59",1
"QBC978",2022,"33",3
"UOV367",2022,"57",1
"MMO_416",2022,"30",1
"ZJO378",2022,"32",3
"VJJ650",2022,"73",3
"KVT024",2022,"69",2
"LNG232",2022,"62",1
"XJB248",2022,"72",3
"UKC763",2022,"52",3
"KTZ121",2022,"66",1
"VPX624",2022,"54",3
"KWK526",2022,"43",3
"WDC749",2022,"23",1
"RIU_017",2022,"64",2
"XPS_707",2022,"60",1
"MEN510",2022,"65",1
"IHP818",2022,"46",1
"UZX180",2022,"49",3
"HSY339",2022,"60",3
"BEF165",2022,"66",3
"GNB182",2022,"47",3
"BFY228",2022,"74",3
"UNX344",2022,"41",3
"QVJ557",2022,"61",3
"LSO_713",2022,"48",1
"RUE956",2022,"54",1
"PJQ815",2022,"74",1
"INV072",2022,"46",1
"SMF378",2022,"53",3
"FJR483",2022,"59",2
"VQG619",2022,"29",2
"PXB786",2022,"53",1
"NUL327",2022,"55",3
"HPB137",2022,"58",3
"QBD_520",2022,"74",2
"UXD842",2022,"74",3
"GTV303",2022,"49",1
"XWH726",2022,"38",1
"QMZ_933",2022,"54",2
"XYL310",2022,"68",1
"BGB412",2022,"18",1
"LMF022",2022,"49",3
"OWV711",2022,"38",3
"NQY932",2022,"42",2
"QIF988",2022,"63",1
"IQD758",2022,"64",2
"EED_819",2022,"33",3
"NRP229",2022,"46",2
"ZAV259",2022,"44",3
"BEJ711",2022,"61",3
"XUN720",2022,"54",1
"YIB929",2022,"45",1
"OMH053",2022,"44",1
"EDD273",2022,"33",3
"XDW939",2022,"61",1
"WJU757",2022,"44",3
"MKR913",2022,"71",3
"ZKF275",2022,"62",1
"AGP730",2022,"75",3
"FZW801",2022,"37",2
"LOP364",2022,"56",3
"FKA063",2022,"58",3
"DQB192",2022,"47",3
"RKX602",2022,"52",1
"AKF709",2022,"66",NA
"NKB515",2022,"61",1
"BVZ209",2022,"52",1
"CKW914",2022,"54",2
"QSN174",2022,"48",3
"YVR963",2022,"43",2
"EPU705",2022,"32",1
"SSJ106",2022,"55",3
"EWM303",2022,"74",2
"JDE953",2022,"37",3
"WWS568",2022,"40",3
"LVR927",2022,"74",1
"LCZ891",2022,"47",3
"GMH328",2022,"22",1
"XVS598",2022,"40",1
"KTK548",2022,"54",1
"WXM673",2022,"74",3
"OHO730",2022,"42",NA
"ERY525",2022,"51",3
"FTJ423",2022,"51",3
"ELZ430",2022,"46",3
"PAE950",2022,"32",3
"QDA687",2022,"45",2
"HKN310",2022,"42",3
"EMQ912",2022,"60",2
"QLS130",2022,"55",3
"UPV000",2022,"41",1
"IRU801",2022,"68",3
"LCN444",2022,"33",2
"GJH797",2022,"23",3
"IJU333",2022,"49",1
"TUB115",2022,"25",3
"HTP735",2022,"63",3
"ZAR235",2022,"69",2
"LZZ332",2022,"32",1
"DGB042",2022,"49",1
"QXP992",2022,"73",1
"KHI037",2022,"55",3
"BCN166",2022,"34",1
"EGL613",2022,"60",3
"XBK635",2022,"40",3
"EKI054",2022,"34",2
"OLC517",2022,"56",3
"EJO830",2022,"23",3
"NKJ102",2022,"67",1
"TKO462",2022,"37",3
"BOF739",2022,"34",1
"UYT480",2022,"34",3
"FZE424",2022,"58",1
"TLI785",2022,"20",2
"BDW592",2022,"62",3
"YED837",2022,"53",1
"YMW729",2022,"57",1
"GHT620",2022,"32",1
"PRH874",2022,"46",3
"IKA105",2022,"37",3
"ZLK322",2022,"70",1
"SMO001",2022,"60",3
"XNG174",2022,"70",2
"VVW487",2022,"70",1
"BVD094",2022,"60",1
"ITE674",2022,"52",1
"CLZ716",2022,"44",3
"LXJ865",2022,"24",3
"RUY218",2022,"48",3
"CRP787",2022,"48",3
"AEY912",2022,"51",3
"VMH_088",2022,"43",1
"UUL743",2022,"71",1
"HVD094",2022,"72",3
"IIH664",2022,"54",3
"EKL597",2022,"#NA",NA
"NAE715",2022,"41",3
"CCU738",2022,"64",1
"ZTI306",2022,"41",3
"GTB_333",2022,"33",1
"XUI_199",2022,"50",3
"EDY639",2022,"54",3
"PHA356",2022,"36",2
"BHV383",2022,"72",3
"WZG825",2022,"74",3
"UOC_809",2022,"50",3
"RNK090",2022,"35",3
"EUF232",2022,"67",3
"QFH375",2022,"35",1
"RQD474",2022,"62",3
"QVC_501",2022,"46",1
"ONU344",2022,"35",2
"CYD112",2022,"32",3
"WTH260",2022,"67",NA
"ALI_543",2022,"50",3
"QRJ318",2022,"56",3
"SEW878",2022,"23",1
"GAR586",2022,"19",1
"LWL562",2022,"61",3
"OSM616",2022,"57",3
"EHQ769",2022,"58",1
"ENY749",2022,"41",2
"OUE_309",2022,"39",3
"YXW279",2022,"73",2
"UUZ819",2022,"32",1
"HSM367",2022,"65",1
"ZDN335",2022,"37",2
"PSZ881",2022,"36",2
"JWA207",2022,"48",1
"OEN054",2022,"60",3
"DJI566",2022,"48",1
"ATG540",2022,"33",2
"WGX_337",2022,"40",2
"NNJ292",2022,"67",1
"XHX726",2022,"61",3
"WKA_575",2022,"39",3
"VUV665",2022,"63",3
"LAB727",2022,"26",2
"AXL703",2022,"36",3
"MUN666",2022,"30",3
"CEI678",2022,"44",1
"BBZ696",2022,"66",2
"EFW566",2022,"66",1
"EUY251",2022,"73",3
"KPA423",2022,"64",1
"OQP631",2022,"48",3
"TKI743",2022,"35",1
"XHP275",2022,"62",1
"XMN027",2022,"65",3
"AMT032",2022,"30",1
"OIL542",2022,"52",1
"YMO710",2022,"46",3
"TJZ018",2022,"42",1
"VJO597",2022,NA,3
"RNB198",2022,"58",3
"FHV133",2022,"36",1
"ILP648",2022,"75",1
"ZNG_729",2022,"38",2
"EOQ547",2022,"67",3
"CJQ817",2022,"23",2
"GKQ777",2022,"73",1
"KBG255",2022,NA,3
"UJM421",2022,"64",2
"MEW785",2022,"55",3
"ZCK623",2022,"28",1
"PUI959",2022,"63",3
"NML955",2022,"71",3
"WTW046",2022,"65",1
"SLY509",2022,"65",3
"ZKP519",2022,"56",2
"VQZ_518",2022,"47",2
"YGI725",2022,"54",3
"VSS496",2022,"72",3
"CSA269",2022,"39",2
"BLY_623",2022,"36",NA
"PVQ785",2022,"54",3
"UPP554",2022,"69",3
"VVU556",2022,"60",1
"GXX406",2022,"53",2
"NPA141",2022,"47",1
"FDG209",2022,"55",2
"NAH701",2022,"55",3
"DRG384",2022,"52",1
"XAG363",2022,"50",3
"CNQ442",2022,"42",3
"VUE579",2022,"18",2
"MAD671",2022,"41",3
"VXE732",2022,"33",3
"SQR953",2022,"61",1
"CUP594",2022,"54",3
"USX219",2022,"41",1
"KDG561",2022,"74",1
"LIC631",2022,"39",1
"EAB419",2022,"48",3
"WFW284",2022,"59",1
"THZ080",2022,"67",1
"EWS192",2022,"65",1
"RHT895",2022,"35",1
"XHI318",2022,"40",1
"MVN088",2022,"68",3
"YHU693",2022,"67",3
"FZT395",2022,"75",3
"RIR105",2022,"34",1
"ARF197",2022,"58",1
"UVG181",2022,"38",1
"VES936",2022,"41",3
"NBC131",2022,"72",3
"ZKF004",2022,"38",3
"SXH684",2022,"46",3
"AUO102",2022,"25",1
"YNW036",2022,"47",1
"HZA254",2022,"28",3
"SGX868",2022,"39",3
"FNY118",2022,"64",1
"JKX931",2022,"66",3
"LCZ725",2022,"45",3
"KBD973",2022,"46",3
"TYM336",2022,"54",2
"IPM850",2022,"54",3
"UTB339",2022,"59",3
"TSG441",2022,"38",1
"CTS050",2022,"65",3
"UHW577",2022,"63",3
"YDS424",2022,"58",1
"SLR911",2022,"35",3
"TXN010",2022,"33",2
"XRK_346",2022,"73",1
"QPO752",2022,"31",3
"UOL892",2022,"55",3
"SNY243",2022,"40",1
"YDG_687",2022,"63",3
"YJV301",2022,"62",3
"SIY458",2022,"39",3
"VTW353",2022,"70",3
"HSL195",2022,"36",1
"WXG401",2022,"34",3
"YBF690",2022,"49",2
"CZE605",2022,"69",3
"XJP363",2022,"71",1
"IIF682",2022,"48",3
"IVK042",2022,"55",1
"SGD621",2022,"46",2
"WQX821",2022,"70",3
"TFJ962",2022,"49",3
"RKZ243",2022,"33",2
"FOB169",2022,"65",3
"HPW394",2022,"72",3
"SIZ163",2022,"43",2
"MKZ_299",2022,"50",3
"FAG048",2022,"72",1
"WFF596",2022,"40",NA
"VVW598",2022,"67",3
"NGI042",2022,"66",3
"ZWR807",2022,"53",3
"MNU627",2022,"22",2
"EON167",2022,"45",3
"BFU909",2022,"46",1
"VSM109",2022,"47",3
"BEI099",2022,"55",1
"YSG679",2022,"29",2
"DRX639",2022,"42",3
"FLV145",2022,"61",3
"NQR496",2022,"25",2
"LNV927",2022,"52",2
"FDS744",2022,"62",2
"JIX138",2022,"36",1
"WBE292",2022,"49",3
"EJT569",2022,"38",1
"PIZ723",2022,"66",3
"JNA518",2022,"40",3
"LJN329",2022,"52",2
"KJS742",2022,"58",3
"YBZ577",2022,"63",2
"CKN381",2022,"31",1
"PUA213",2022,"74",3
"ZZF229",2022,"70",3
"PZW500",2022,"33",1
"GPA976",2022,"65",NA
"WRH753",2022,"38",2
"GDM023",2022,"51",2
"JNR874",2022,"69",2
"REZ268",2022,"54",1
"FPL_900",2022,"62",1
"ALD273",2022,"24",3
"OCL169",2022,"64",3
"UYC221",2022,"66",2
"HBP977",2022,"74",3
"OYM634",2022,"70",1
"YFN678",2022,"72",NA
"XLO750",2022,"35",3
"DCC072",2022,"71",2
"ICI346",2022,"51",1
"BIM337",2022,"53",3
"AXL494",2022,"68",1
"FNR645",2022,"38",2
"CDI_672",2022,"73",1
"IYW536",2022,"47",2
"LNZ962",2022,"41",NA
"PRJ221",2022,"43",2
"BHG277",2022,"49",3
"UVW050",2022,"75",3
"QMK156",2022,"37",3
"BIQ813",2022,"68",3
"PBN376",2022,"40",3
"SKX329",2022,"66",1
"DUC_612",2022,"40",3
"IJB316",2022,"39",3
"ZSX_935",2022,"53",3
"PHY280",2022,"20",1
"XKU409",2022,"37",3
"IVA716",2022,"40",3
"NSH960",2022,"43",3
"QST291",2022,"55",3
"MNG292",2022,"40",3
"VHU359",2022,"20",2
"MSU_570",2022,"53",1
"UZA622",2022,"68",3
"GZL_121",2022,"66",3
"IYK887",2022,"19",2
"WHZ438",2022,"72",3
"TSZ556",2022,"54",3
"XYY758",2022,"59",1
"FZF763",2022,"39",3
"IBM_918",2022,"54",1
"PHH449",2022,"42",3
"JIM232",2022,"36",1
"BGL010",2022,"63",1
"OOL449",2022,"61",1
"WBX_915",2022,"61",2
"EAF574",2022,"33",2
"DWX026",2022,"75",1
"RKL878",2022,"64",1
"OJU497",2022,"52",3
"HNH187",2022,"69",1
"FXS962",2022,"63",3
"MOE930",2022,"74",1
"MIO161",2022,"29",3
"VCW773",2022,"66",3
"KQS614",2022,"35",3
"RAG387",2022,"56",3
"HDD205",2022,"42",3
"JSC425",2022,"29",1
"APX651",2022,"38",1
"WZR733",2022,"46",1
"GLW987",2022,"67",3
"KOY636",2022,"41",3
"LEC_932",2022,"51",2
"FPD948",2022,"59",2
"FJJ386",2022,"59",3
"ZOH909",2022,"#NA",3
"GTZ160",2022,"47",1
"YFC799",2022,"44",3
"WCN715",2022,"50",1
"ROR101",2022,"46",3
"KJS426",2022,"73",2
"ZJG837",2022,"67",3
"ZDH_916",2022,"65",1
"FRG922",2022,"73",1
"RDM116",2022,"31",3
"MUP644",2022,"38",3
"FND321",2022,"35",3
"HQP957",2022,NA,NA
"FJQ817",2022,"73",1
"QTC_568",2022,"59",3
"ACL327",2022,"37",3
"ZDZ626",2022,"27",1
"IVA_609",2022,"61",3
"XXX103",2022,"58",3
"QXQ242",2022,"38",3
"QRQ737",2022,"64",2
"GDU189",2022,"36",1
"OQL689",2022,"40",1
"IIB869",2022,"53",2
"SEZ_724",2022,"72",3
"YFU909",2022,"73",3
"VFY401",2022,"54",2
"OUT085",2022,"48",3
"DZB740",2022,"44",2
"EHD_970",2022,"35",1
"OLG126",2022,"65",1
"HUF611",2022,"56",3
"WHA539",2022,"58",3
"QIN160",2022,"42",3
"DDZ373",2022,"64",1
"OOF902",2022,"36",3
"SOX936",2022,"52",3
"MOV860",2022,"50",1
"TMG217",2022,"60",3
"IRP_516",2022,"71",2
"AFI362",2022,"25",3
"BML894",2022,"61",3
"AWO852",2022,"56",3
"ZEH540",2022,"70",3
"HYJ920",2022,"43",1
"PHF741",2022,"38",3
"ZTI641",2022,"64",1
"DXR000",2022,"47",3
"TFF545",2022,"37",2
"FHA046",2022,"72",3
"DQV196",2022,"20",1
"AEG_906",2022,"67",3
"KUN562",2022,"50",3
"OPM_018",2022,"48",1
"NLN822",2022,"49",3
"JRA046",2022,"71",NA
"FPE_044",2022,"58",1
"SFT979",2022,"74",1
"UJR398",2022,"33",3
"PEX550",2022,"73",2
"DAA995",2022,"62",1
"ZEI295",2022,"37",3
"NJG016",2022,"68",2
"BQV396",2022,"62",1
"TML523",2022,"47",3
"PGY849",2022,"70",3
"FNE359",2022,"46",3
"RFM902",2022,"70",3
"PNH953",2022,"75",NA
"UYQ439",2022,"60",3
"FFB_461",2022,"45",1
"CRL446",2022,"48",3
"PSU567",2022,"66",3
"PND538",2022,"54",1
"LZE689",2022,"40",3
"TIF755",2022,"34",1
"BZC835",2022,"49",3
"DCO140",2022,"57",3
"LGU713",2022,"45",2
"LXL388",2022,"21",2
"XOZ041",2022,"43",1
"GFL703",2022,"70",3
"QYC076",2022,"62",1
"UEM525",2022,"74",NA
"JEV683",2022,"37",3
"IWS268",2022,"66",3
"LUD923",2022,"70",1
"IGW122",2022,"21",2
"MUY462",2022,"42",2
"SXO461",2022,"55",3
"MOB430",2022,"69",2
"PPZ499",2022,"26",1
"CRN283",2022,"57",1
"PZS465",2022,"53",3
"VXD597",2022,"45",3
"AKW682",2022,"62",1
"WFS346",2022,"48",2
"JNJ049",2022,"36",1
"WNU405",2022,"62",1
"FYF541",2022,"51",NA
"REZ392",2022,"57",1
"UBX687",2022,"43",1
"QWU101",2022,"72",1
"PNP012",2022,"72",3
"EUZ_812",2022,"71",1
"MFJ008",2022,"30",3
"PDX188",2022,NA,1
"TVV570",2022,"42",3
"YJH263",2022,NA,3
"SHL592",2022,"50",1
"UOM751",2022,"62",1
"YXA241",2022,"67",2
"JHW475",2022,"41",2
"ZYD547",2022,"74",2
"VGH669",2022,"35",1
"VQF_725",2022,"43",3
"XCV465",2022,"32",3
"ULB380",2022,"60",1
"KIM601",2022,"73",3
"UXG583",2022,"36",2
"BCX698",2022,"62",1
"PEB716",2022,"20",2
"JWK905",2022,"48",3
"EPG520",2022,"38",2
"CJS_679",2022,"51",3
"RNS279",2022,"54",2
"AMD983",2022,"34",1
"CKJ594",2022,"57",1
"SDA336",2022,"74",3
"KYF533",2022,"54",3
"OUP863",2022,"49",1
"RXK847",2022,"37",3
"SYL735",2022,"62",1
"YZO279",2022,"42",3
"EUC311",2022,"29",2
"EBU048",2022,"53",3
"IDP840",2022,"47",3
"ILM293",2022,"58",2
"MHC238",2022,"23",3
"FJN997",2022,"26",2
"YZS682",2022,"62",3
"RMS839",2022,"56",3
"JOQ782",2022,"34",3
"QHH782",2022,"55",3
"QGB103",2022,"54",1
"IOX774",2022,"38",1
"AYS670",2022,"70",1
"CEX071",2022,"43",1
"XHY539",2022,"36",1
"KPV034",2022,"66",2
"TBY729",2022,"37",1
"XYK_425",2022,"63",1
"VZF268",2022,"33",1
"BYN116",2022,"44",2
"QMC125",2022,"34",1
"NYD272",2022,"28",1
"JLT652",2022,"50",2
"GMU662",2022,"53",3
"AFU_376",2022,"51",3
"DFR581",2022,"69",3
"BBQ983",2022,"34",3
"KWK017",2022,"57",3
"EKZ359",2022,"33",3
"KJJ_692",2022,"41",1
"WBE952",2022,"56",3
"XYX304",2022,"28",1
"FHD365",2022,"40",3
"MJD675",2022,"39",1
"CIM937",2022,"70",1
"AWQ279",2022,"42",3
"MVD352",2022,"71",1
"ONE255",2022,"41",1
"SBP419",2022,"21",1
"COA393",2022,"29",3
"DAS472",2022,"46",1
"KIK422",2022,"73",1
"VPX316",2022,"63",1
"XNY134",2022,"75",1
"PFN722",2022,"58",2
"AIZ905",2022,"39",3
"QGL552",2022,"49",3
"BWE958",2022,"59",2
"BMB620",2022,"36",3
"CVL_596",2022,"63",3
"XHS957",2022,"70",NA
"OWW155",2022,"51",3
"AKN145",2022,"46",1
"PBW531",2022,"40",3
"DCI002",2022,"56",2
"CKG570",2022,"53",NA
"MKD298",2022,"72",2
"PIQ_821",2022,"52",2
"JKR520",2022,"75",3
"SOM720",2022,"68",1
"LKG899",2022,"56",1
"CQU787",2022,"23",3
"QOZ234",2022,"64",2
"BLI089",2022,"23",1
"LBA449",2022,"42",3
"UOQ055",2022,"49",1
"NOL_650",2022,"36",NA
"XGF514",2022,"53",3
"CXU365",2022,"44",1
"ZPT509",2022,"23",2
"WNG495",2022,"48",2
"GIR100",2022,"71",1
"GLN488",2022,"47",NA
"ZKV229",2022,"27",2
"GAC954",2022,"33",3
"IKR751",2022,"50",1
"SAV200",2022,"69",1
"LGD162",2022,"69",1
"QTL951",2022,"52",2
"OTW202",2022,"55",2
"EXE500",2022,"62",2
"WQO794",2022,"52",2
"YHO108",2022,"44",3
"VOC720",2022,"59",3
"BKN358",2022,"69",3
"BGY608",2022,"69",1
"VTH741",2022,"60",NA
"DRF048",2022,"68",1
"PDM_524",2022,"58",1
"HYW303",2022,"72",1
"TXF422",2022,"40",1
"YLH197",2022,"46",1
"HPE_047",2022,"21",2
"GVE675",2022,"55",3
"CUN676",2022,"33",2
"BZH894",2022,"60",1
"ZRM251",2022,"61",2
"CZO_532",2022,"30",1
"UXF322",2022,"38",3
"VOY211",2022,"33",3
"RBX_034",2022,"55",3
"VYU405",2022,"47",NA
"YVQ794",2022,"50",3
"WUZ374",2022,"73",NA
"PZE265",2022,"57",1
"WLB_220",2022,"54",3
"DXW361",2022,"50",1
"RLY380",2022,"53",2
"RPS096",2022,"63",2
"DEE741",2022,"73",3
"WZR876",2022,"59",3
"UVD307",2022,"73",2
"SPO259",2022,"37",3
"TAG043",2022,"43",3
"BPD153",2022,"63",2
"BIS028",2022,"#NA",1
"GER542",2022,"23",1
"TIT942",2022,"20",2
"FCQ836",2022,"61",3
"KYY_585",2022,"35",1
"HLT_903",2022,"43",1
"ULK169",2022,"63",3
"EKT741",2022,"73",2
"NWS120",2022,"58",1
"PAP494",2022,"25",1
"FVQ980",2022,"56",3
"GFB360",2022,"57",3
"AWL158",2022,"59",1
"OLX625",2022,"21",1
"WUJ264",2022,"43",1
"TJW_719",2022,"66",1
"EFW099",2022,"74",3
"KNL889",2022,"18",1
"NDW214",2022,"55",3
"YJR373",2022,"71",1
"OVY_953",2022,"68",3
"YOJ634",2022,"73",1
"SMU035",2022,"73",3
"INP_927",2022,"59",3
"QQU316",2022,"51",3
"NYT719",2022,"42",2
"DHR537",2022,"57",3
"RZS_485",2022,"54",3
"IVU700",2022,"48",1
"KIW719",2022,"44",3
"TSN838",2022,"73",2
"RBC500",2022,"52",2
"PEV903",2022,"37",2
"KKX052",2022,"25",1
"HCQ928",2022,"60",1
"NPN088",2022,"27",3
"TSV676",2022,"61",3
"EVV596",2022,"41",2
"GDF714",2022,"33",2
"NYX530",2022,"63",1
"OVG770",2022,"64",3
"VDX742",2022,"38",3
"LIU996",2022,"49",2
"KUR813",2022,"41",3
"QAV_983",2022,"24",1
"CMZ815",2022,"61",2
"NIY615",2022,"64",1
"NKG316",2022,"47",3
"LIG239",2022,"22",3
"VHE494",2022,"62",2
"BOL769",2022,"36",3
"BMH415",2022,"37",2
"TIV155",2022,"42",1
"HBT953",2022,"63",1
"FLU015",2022,"32",2
"LXX488",2022,"48",3
"UQN273",2022,"42",3
"BFE697",2022,"45",1
"WKX170",2022,"64",2
"NIC794",2022,"26",1
"CGO269",2022,"65",1
"EAD967",2022,"34",3
"QFI025",2022,"62",2
